Source,Make & Model,Rating,Oversizing Factor,FlowT mean,OutsideT mean,% Carnot,Heat output,SPF
Ground Source,Nibe S1155 PVT,12,1.3,33.44,6.91,58.1,19479.3,5.01
Air Source,Viessmann Vitocal 150A,10,1.8,30.12,5.62,55.29,17822.9,4.99
Air Source,Nibe F2050,9,1,31.57,8.93,53.84,23582.6,4.69
Air Source,Vaillant Arotherm+,7,1.5,30.69,8.13,50,13573.7,4.63
Air Source,Vaillant Arotherm+,5,1.3,28.01,6.74,49.5,14146.8,4.55
Air Source,Samsung Gen 6,5,1.2,31.91,7.71,47.9,10384.6,4.41
Air Source,Grant Aerona3 (hybrid),6,1.3,30.42,7.65,48.77,8429.5,4.4
Air Source,Vaillant Arotherm+,5,1.8,32.3,7.74,47.97,10960.1,4.37
Air Source,Vaillant Arotherm+,5,1.9,34.75,1.24,4.25,12832.6,4.36
Air Source,Mitsubishi Ecodan,5,1.4,34.6,6.74,53.06,7671.1,4.26
Air Source,Vaillant Arotherm+,5,2.4,27.58,7.99,43.64,9342.6,4.25
Air Source,Vaillant Arotherm+,10,1.1,35.5,7.59,51.3,22519.5,4.22
Air Source,Vaillant Arotherm+,7,1.5,29.83,7.02,45.15,12279.7,4.14
Air Source,Mitsubishi Ecodan,5,1.4,33.23,8.24,44.86,10645.8,4.09
Air Source,Vaillant Arotherm+,7,1.7,33.1,5.13,50.05,10481.5,4.07
Air Source,Vaillant Arotherm+,5,1.5,32.43,6.89,46.59,11467.7,4.07
Air Source,Vaillant Arotherm+,7,1.7,30.74,6.87,45.66,11680.3,4.05
Air Source,Grant Aerona3,13,1.9,34.74,8.11,47.07,20284.6,4.04
Air Source,Samsung Gen 6,5,1.7,39.49,11.03,47.15,7260.8,3.98
Air Source,Acond PRO-N,5,1.3,34,8.15,46.57,10897.1,3.96
Air Source,Vaillant Arotherm+,5,1.3,29.17,7.86,45.53,7302.9,3.96
Air Source,Vaillant Arotherm+,7,1.1,34.34,7.66,49.46,20737.3,3.95
Air Source,Mitsubishi Ecodan,14,1.8,39.45,9.91,49.44,15448.3,3.91
Air Source,Mitsubishi Ecodan,8.5,1.9,33.89,6.56,48.56,10101.8,3.89
Air Source,Samsung Gen 6,8,1,32.02,6.66,41.97,17168.6,3.88
Air Source,Vaillant Arotherm+,7,2.3,35.01,6.26,46.12,8458.5,3.8
Air Source,Vaillant Arotherm+,7,1.5,32.73,7.52,45.83,16013.6,3.77
Air Source,Stiebel Eltron WPL25-AS,12.5,1.2,38.02,7.75,49.38,18775.1,3.77
Air Source,Vaillant Arotherm+ ,3.5,1.4,34.02,7.25,45.56,7503.6,3.75
Air Source,Vaillant Arotherm+,5,1.2,37.66,8,47.74,12488.8,3.73
Air Source,Mitsubishi Ecodan,11.2,2,36.07,7.44,46.82,12398,3.72
Air Source,Vaillant Arotherm+,5,1.8,34.23,6.3,47.59,7457.2,3.72
Air Source,Vaillant Arotherm+,5,1.4,36.47,7.13,49.3,11258.3,3.71
Air Source,Daikin Altherma 3,11,1.2,32.68,8.3,42.77,14977.8,3.7
Air Source,Mitsubishi Ecodan,5,1.2,37.3,7.15,49,7063.4,3.69
Air Source,Vaillant Arotherm+,5,1.8,34.62,7.22,44.23,8229.4,3.66
Air Source,Vaillant Arotherm+,5,1.7,33.93,6.8,44.54,8399.8,3.65
Air Source,Vaillant Arotherm+,8,1.5,36.06,5.63,47.04,17821.5,3.62
Air Source,Mitsubishi Ecodan,11.2,1.7,41.72,7.8,50.01,13998.8,3.61
Ground Source,Kensa EVO 13,13,2.6,38.81,5.94,49.43,13879.1,3.6
Air Source,Mitsubishi Ecodan,11.2,1.9,31.39,7.38,41.79,8425.5,3.59
Air Source,Daikin Altherma 3,6,1.9,30.6,7.71,44.66,7123.2,3.58
Air Source,Daikin Altherma 3,8,1.7,34.47,8.52,43.99,11294.2,3.58
Air Source,Grant Aerona3,10,2.6,35.08,7.19,43.61,6063.7,3.55
Air Source,Vaillant Arotherm+,5,1.8,34.32,8.94,42.67,6329.4,3.54
